barcode,X,Y
R1.01.R2.06.R3.83.P1.55,1.28702445658145,-9.67959463709599
R1.01.R2.11.R3.86.P1.56,1.67915564472588,-8.89038614270574
R1.01.R2.15.R3.09.P1.55,3.10570836506966,-11.2008856062269
R1.01.R2.17.R3.81.P1.53,1.94223273286068,-9.40040038275366
R1.01.R2.18.R3.95.P1.54,0.205075574031372,-10.8881438173991
R1.01.R2.19.R3.59.P1.55,3.7764336031202,-12.1267776492839
R1.01.R2.20.R3.02.P1.54,5.98791243300971,-13.4628401216015
R1.01.R2.23.R3.50.P1.54,3.65637944199575,-12.9292402967538
R1.01.R2.31.R3.22.P1.53,1.19714408005927,-11.6155631542938
R1.01.R2.32.R3.95.P1.55,-1.00769790539932,-10.7192949247053
R1.01.R2.45.R3.22.P1.55,0.463532360694889,-10.8935031896126
R1.01.R2.47.R3.01.P1.55,2.52980933475836,-10.022086440904
R1.01.R2.47.R3.70.P1.55,4.74277572323406,-13.4079694325721
R1.01.R2.49.R3.79.P1.54,1.06829851084893,-11.1721394287349
R1.01.R2.52.R3.08.P1.55,-0.350333608178507,-10.7431558018907
R1.01.R2.55.R3.21.P1.56,1.31257685907053,-11.3108542823024
R1.01.R2.55.R3.91.P1.55,-0.422782298729781,-10.8318599495643
R1.01.R2.57.R3.09.P1.55,3.0605889222099,-11.2084540836707
R1.01.R2.57.R3.52.P1.55,0.0613725376246296,-10.8734935209423
R1.01.R2.59.R3.64.P1.53,1.06466245917754,-9.2042328013378
R1.01.R2.62.R3.67.P1.54,1.41953996426626,-9.03861984134286
R1.01.R2.63.R3.29.P1.53,4.45144358636799,-13.3349476549813
R1.01.R2.68.R3.16.P1.56,3.91968094075566,-12.7715228660858
R1.01.R2.69.R3.87.P1.54,-0.0998034857466634,-10.6965739946758
R1.01.R2.71.R3.91.P1.55,-1.29150088958224,-10.6257737797745
R1.01.R2.74.R3.74.P1.55,2.84934227718129,-9.12527002569541
R1.01.R2.88.R3.10.P1.55,1.21282523194465,-11.6030416119371
R1.01.R2.90.R3.17.P1.54,1.34583887343011,-11.1133196068938
R1.02.R2.02.R3.05.P1.54,2.18186412198816,-9.7785000325233
R1.02.R2.02.R3.29.P1.54,4.04004021605605,-12.7631477347419
R1.02.R2.10.R3.83.P1.56,-0.622817575376714,-10.7878846118807
R1.02.R2.17.R3.41.P1.56,1.3129630321369,-11.3965182505782
R1.02.R2.18.R3.31.P1.55,4.34524134372945,-13.3208884406946
R1.02.R2.18.R3.64.P1.56,0.811680128224507,-9.14631438202862
R1.02.R2.20.R3.92.P1.55,1.84123912960038,-12.204753119833
R1.02.R2.31.R3.36.P1.54,3.49362843101053,-12.066084507872
R1.02.R2.32.R3.71.P1.55,0.827307909097627,-9.29192290168169
